molecule_chembl_id,canonical_smiles,assay_description,assay_type,target_organism,target_pref_name,bioactivity_class,standard_value,target_organism_canonical_smiles,target_organism_isomeric_smiles,"bioactivity_class_labels (0-inactive, 1-active, 2-intermediate)",MW,LogP,NumHDonors,NumHAcceptors
CHEMBL244169,Nc1nc(Cl)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,301.69,-1.3266,4,9
CHEMBL388931,CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,298.324,-0.8403,3,9
CHEMBL244168,COc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,282.256,-1.5536,3,9
CHEMBL245013,O[C@@H]1[C@@H](COCc2ccccc2)O[C@@H](n2cnc3c(Cl)ncnc32)[C@@H]1O,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,108000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,376.8,1.3157,2,8
CHEMBL235873,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,659.781,0.8706,6,9
CHEMBL397154,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,625.764,0.674,6,9
CHEMBL238217,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,75000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,636.787,2.0748,5,9
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,70000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,558.676,2.79942,3,8
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,45000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,580.682,2.68582,3,8
CHEMBL490210,CC(=O)N1Cc2ccccc2C[C@H]1C(=O)Oc1cncc(Cl)c1,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,140,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,330.771,2.6138,0,4
CHEMBL490209,CC(C)(C)OC(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)Oc3cncc(Cl)c3)C(C)(C)S[C@H]12,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,427.91,2.596,1,7
CHEMBL490822,O=C(Oc1cncc(Cl)c1)c1cccc2cc[nH]c12,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,80,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,272.691,3.4355,1,3
CHEMBL490820,O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,30,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,272.691,3.4355,1,3
CHEMBL496179,O=C(Oc1cncc(Cl)c1)c1ccc2cc[nH]c2c1,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,230,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,272.691,3.4355,1,3
CHEMBL496316,O=C(Oc1cncc(Cl)c1)c1ccc2c(ccn2S(=O)(=O)c2cccc([N+](=O)[O-])c2)c1,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,89,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,457.851,4.0541,0,8
CHEMBL497351,Cc1ccc(S(=O)(=O)n2ccc3cc(C(=O)Oc4cncc(Cl)c4)ccc32)cc1,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,370,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,426.881,4.45432,0,6
CHEMBL497143,CC(=O)n1ccc2cc(C(=O)Oc3cncc(Cl)c3)ccc21,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,400,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,314.728,3.569,0,5
CHEMBL510559,O=C(Oc1cncc(Cl)c1)c1ccc2[nH]ccc2c1,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,310,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,272.691,3.4355,1,3
CHEMBL497141,O=C(On1nnc2ccccc21)c1ccc2[nH]ccc2c1,Antiviral activity against SARS-CoV Urbani in african green monkey Vero E6 cells assessed as cell viability after 48 hrs,F,SARS coronavirus,SARS coronavirus,active,200,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,278.271,2.1816,1,5
CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,13500,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,421.19,2.6605,0,4
CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,13110,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,293.347,3.6308,0,3
CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,In vitro inhibitory concentration SARS coronavirus main protease (SARS CoV 3C-like protease) ,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,active,980,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,372.243,4.3933,0,3
CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,SARS coronavirus,SARS coronavirus 3C-like proteinase,active,950,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,419.243,4.2354,0,3
CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,11200,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,327.792,4.2842,0,3
CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,23500,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,445.281,4.7486,0,3
CHEMBL191575,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,12570,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,522.751,4.9879,1,4
CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,17500,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,480.327,3.7083,0,4
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,45000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,580.682,2.68582,3,8
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,70000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,558.676,2.79942,3,8
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,Inhibition of SARS CoV 3C-like protease,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,66000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,329.137,2.6206,0,2
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,Inhibition of SARS CoV 3C-like protease,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,active,370,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,1,330.343,2.6682,1,3
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,Inhibition of SARS CoV 3C-like protease,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,12500,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,280.283,1.515,1,3
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,Inhibition of SARS CoV 3C-like protease,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,19000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,246.266,1.1149,1,3
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,Inhibition of SARS CoV 3C-like protease,B,SARS coronavirus,SARS coronavirus 3C-like proteinase,inactive,25000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,232.239,0.7248,1,3
